"id","question_id","answer_id","value","created_at","updated_at"
"93","21","22","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"94","21","23","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"95","22","20","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"96","22","20","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"97","22","21","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"98","22","22","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"99","22","23","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"100","23","20","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"101","23","21","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"102","23","22","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"103","23","23","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"104","24","20","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"105","24","21","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"106","24","22","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"107","24","23","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"108","25","20","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"109","25","21","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"110","25","22","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"111","25","23","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"112","26","20","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"113","26","21","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"114","26","22","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"115","26","23","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"116","27","20","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"117","27","21","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"118","27","22","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"119","27","23","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"120","28","20","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"121","28","21","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"122","28","22","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"123","28","23","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"124","29","20","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"125","29","21","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"126","29","22","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"127","29","23","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"128","30","20","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"129","30","21","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"130","30","22","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"131","30","23","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"132","31","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"133","31","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"134","31","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"135","31","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"136","31","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"137","31","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"138","32","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"139","32","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"140","32","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"141","32","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"142","32","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"143","32","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"144","33","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"145","33","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"146","33","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"147","33","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"148","33","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"149","33","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"150","34","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"151","34","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"152","34","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"153","34","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"154","34","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"155","34","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"156","35","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"157","35","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"158","35","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"159","35","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"160","35","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"161","35","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"162","36","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"163","36","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"164","36","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"165","36","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"166","36","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"167","36","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"168","37","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"169","37","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"170","37","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"171","37","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"172","37","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"173","37","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"174","38","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"175","38","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"176","38","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"177","38","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"178","38","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"179","38","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"180","39","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"181","39","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"182","39","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"183","39","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"184","39","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"185","39","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"186","40","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"187","40","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"188","40","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"189","40","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"190","40","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"191","40","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"192","41","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"193","41","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"194","41","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"195","41","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"196","41","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"197","41","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"198","42","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"199","42","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"200","42","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"201","42","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"202","42","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"203","42","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"204","43","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"205","43","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"206","43","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"207","43","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"208","43","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"209","43","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"210","44","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"211","44","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
"212","44","26","3","2021-05-09 15:06:30","2021-05-09 15:06:30"
"213","44","27","4","2021-05-09 15:06:30","2021-05-09 15:06:30"
"214","44","28","5","2021-05-09 15:06:30","2021-05-09 15:06:30"
"215","44","29","6","2021-05-09 15:06:30","2021-05-09 15:06:30"
"216","45","24","1","2021-05-09 15:06:30","2021-05-09 15:06:30"
"217","45","25","2","2021-05-09 15:06:30","2021-05-09 15:06:30"
